Company Name,Model,price,km,Owner,Car Age,fuel,location,Model_rank,fuel_rank
Honda,City,1025000,24000,1,3,Diesel,Delhi,9,6
Honda,City,299000,76347,2,14,Petrol,Bangalore,9,5
Honda,WR-V,750000,41855,1,4,Diesel,Navi Mumbai,76,6
Honda,Civic,320000,66867,1,14,Petrol,Hyderabad,91,5
Honda,City,350000,57409,2,10,Petrol,Mumbai,9,5
Honda,Brio,229000,41324,1,9,Petrol,Kolkata,97,5
Honda,City,589999,75372,1,7,Diesel,Thane,9,6
Honda,Amaze,299000,58480,1,7,Diesel,Kolkata,30,6
Honda,Brio,229000,46625,1,9,Petrol,Kolkata,97,5
Honda,City,369000,55611,2,9,Petrol,Kolkata,9,5
Honda,City,1175000,11000,1,2,Petrol,Chennai,9,5
Honda,City,625000,44000,1,7,Petrol,Navi Mumbai,9,5
Honda,City,540000,98000,1,8,Petrol,Ahmedabad,9,5
Honda,Amaze,500000,79000,1,7,Petrol,Mumbai,30,5
Honda,Accord,225000,75000,1,13,Petrol,Delhi,119,5
Honda,Brio,259000,32102,1,9,Petrol,Kolkata,97,5
Honda,City,685000,116630,1,5,Diesel,Hyderabad,9,6
Honda,Amaze,400001,63000,1,7,Petrol,Delhi,30,5
Honda,Amaze,450000,59272,1,8,Diesel,Bhopal,30,6
Honda,CR-V,1285000,39000,1,7,Petrol,Mumbai,102,5
Honda,WR-V,800000,20585,1,4,Petrol,Pune,76,5
Honda,Amaze,499000,52345,1,5,Petrol,Noida,30,5
Honda,Civic,625000,13950,1,10,Petrol,Bangalore,91,5
Honda,City,1365000,8000,1,1,Petrol,Delhi,9,5
Honda,City,945000,19001,1,3,Petrol,Mumbai,9,5
Honda,Amaze,425000,96000,1,8,Petrol,Pune,30,5
Honda,City,1450000,8300,1,1,Petrol,Hyderabad,9,5
Honda,City,425000,40000,2,10,Petrol,Chennai,9,5
Honda,City,725000,32017,1,6,Petrol,Bangalore,9,5
Honda,City,650000,82212,1,6,Diesel,Hyderabad,9,6
Honda,WR-V,890000,68432,1,3,Diesel,Hyderabad,76,6
Honda,CR-V,475000,70000,1,14,Petrol,Chennai,102,5
Honda,Brio,365000,35982,1,9,Petrol,Mumbai,97,5
Honda,City,385000,121586,1,12,Petrol,Hyderabad,9,5
Honda,Civic,2100000,20000,1,2,Petrol,Coimbatore,91,5
Honda,City,240000,93000,2,14,Petrol,Pune,9,5
Honda,Amaze,500000,39519,1,5,Petrol,Pune,30,5
Honda,City,625000,92555,1,6,Diesel,Nashik,9,6
Honda,Jazz,745000,39588,1,4,Petrol,Pune,51,5
Honda,Jazz,515111,21500,1,5,Petrol,Mumbai,51,5
Honda,City,560000,70997,1,7,Petrol,Noida,9,5
Honda,Jazz,675000,54158,1,4,Petrol,Pune,51,5
Honda,City,925000,29746,1,3,Diesel,Pune,9,6
Honda,Civic,320000,78000,1,14,Petrol,Hyderabad,91,5
Honda,Jazz,575000,20792,1,4,Petrol,Pune,51,5
Honda,Amaze,560000,20000,1,3,Diesel,Delhi,30,6
Honda,CR-V,1250000,63750,1,6,Petrol,Pune,102,5
Honda,City,460000,65000,2,7,Diesel,Ahmedabad,9,6
Honda,City,675000,60310,1,6,Petrol,Mumbai,9,5
Honda,BR-V,865000,60000,1,4,Petrol,Mumbai,121,5
Honda,City,825000,70097,1,5,Petrol,Bangalore,9,5
Honda,City,255000,161000,1,13,Petrol,Jaipur,9,5
Honda,Accord,495000,130000,1,11,Petrol,Hyderabad,119,5
Honda,Accord,635000,67000,2,9,Petrol,Delhi,119,5
Honda,Jazz,450000,65000,1,6,Diesel,Delhi,51,6
Honda,City,589000,57156,1,6,Petrol,Kolkata,9,5
Honda,Amaze,465000,61569,2,6,Petrol,Delhi,30,5
Honda,City,549991,43375,1,5,Diesel,Kolkata,9,6
Honda,City,555111,49000,1,7,Petrol,Mumbai,9,5
Honda,City,725000,72000,1,5,Diesel,Hyderabad,9,6
Honda,City,295000,57563,2,14,Petrol,Hyderabad,9,5
Honda,Amaze,375000,58578,2,7,Petrol,Jaipur,30,5
Honda,City,495000,55035,1,8,Petrol,Thane,9,5
Honda,City,525000,65105,1,7,Diesel,Noida,9,6
Honda,WR-V,680000,50000,1,4,Petrol,Chennai,76,5
Honda,Jazz,289000,55595,1,8,Petrol,Kolkata,51,5
Honda,City,595000,136000,1,7,Diesel,Hyderabad,9,6
Honda,City,945000,17146,1,4,Petrol,Bangalore,9,5
Honda,Civic,315000,88123,1,11,Petrol,Thane,91,5
Honda,City,899999,28900,1,5,Petrol,Hyderabad,9,5
Honda,Amaze,410000,72956,2,7,Petrol,Thane,30,5
Honda,WR-V,750000,34000,1,3,Diesel,Ahmedabad,76,6
