name,price,km,owner,year,fuel,location
Mahindra TUV300 T6 Plus,"5,95,000","1,80,585 KMs",1 Owner,2015,Diesel,Bangalore
Toyota Fortuner 2.8 4x2 MT [2016-2020],"32,99,000","22,510 KMs",1 Owner,2019,Diesel,Bangalore
Ford Endeavour Sport 2.0 4x4 AT,"40,00,000","19,631 KMs",1 Owner,2020,Diesel,Bangalore
Mahindra XUV500 W11(O) [2018-2020],"18,45,000","46,081 KMs",1 Owner,2018,Diesel,Bangalore
Mercedes-Benz C-Class C 220d Progressive [2018-2019],"49,00,000","2,266 KMs",N/A,2020,Diesel,Bangalore
Ford EcoSport Trend + 1.5L Ti-VCT AT,"9,95,000","12,000 KMs",1 Owner,2019,Petrol,Bangalore
Mahindra XUV500 W11(O) [2018-2020],"18,45,000","46,081 KMs",1 Owner,2018,Diesel,Bangalore
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,"4,10,000","85,022 KMs",2 Owners,2013,Petrol,Bangalore
Mahindra XUV500 W11(O) [2018-2020],"18,45,000","46,081 KMs",1 Owner,2018,Diesel,Bangalore
Ford EcoSport Trend + 1.5L Ti-VCT AT,"9,95,000","12,000 KMs",1 Owner,2019,Petrol,Bangalore
Mercedes-Benz E-Class 270 CDI,"10,50,000","99,000 KMs",1 Owner,2004,Diesel,Bangalore
Ford EcoSport Trend + 1.5L Ti-VCT AT,"9,95,000","12,000 KMs",1 Owner,2019,Petrol,Bangalore
Renault Duster 110 PS RXZ 4X2 AMT Diesel,"9,99,999","19,899 KMs",1 Owner,2017,Diesel,Bangalore
Toyota Etios VXD,"6,25,000","99,000 KMs",1 Owner,2015,Diesel,Bangalore
Maruti Suzuki Alto LXi BS-III,"2,60,000","41,451 KMs",1 Owner,2013,Petrol,Bangalore
Mahindra TUV300 T6 Plus,"5,95,000","1,80,585 KMs",1 Owner,2015,Diesel,Bangalore
Toyota Fortuner 2.8 4x2 MT [2016-2020],"32,99,000","22,510 KMs",1 Owner,2019,Diesel,Bangalore
Hyundai Xcent S AT 1.2,"5,50,000","43,046 KMs",2 Owners,2014,Petrol,Bangalore
Hyundai Sonata 2.4 GDi AT,"9,50,000","62,000 KMs",1 Owner,2012,Petrol,Bangalore
BMW X1 sDrive20d xLine,"39,75,000","10,891 KMs",1 Owner,2020,Diesel,Bangalore
Mercedes-Benz E-Class 270 CDI,"10,50,000","99,000 KMs",1 Owner,2004,Diesel,Bangalore
Mercedes-Benz E-Class 270 CDI,"10,50,000","99,000 KMs",1 Owner,2004,Diesel,Bangalore
Hyundai Elite i20 Magna 1.4 CRDI [2016-2017],"7,10,000","44,953 KMs",1 Owner,2016,Diesel,Bangalore
Toyota Fortuner 2.8 4x2 MT [2016-2020],"32,99,000","22,510 KMs",1 Owner,2019,Diesel,Bangalore
Hyundai Sonata 2.4 GDi AT,"9,50,000","62,000 KMs",1 Owner,2012,Petrol,Bangalore
Maruti Suzuki Celerio VXi AMT,"4,79,000","21,145 KMs",2 Owners,2015,Petrol,Bangalore
Mahindra XUV500 W11(O) [2018-2020],"18,45,000","46,081 KMs",1 Owner,2018,Diesel,Bangalore
Toyota Fortuner 2.8 4x2 MT [2016-2020],"32,99,000","22,510 KMs",1 Owner,2019,Diesel,Bangalore
Toyota Fortuner 2.8 4x2 MT [2016-2020],"32,99,000","22,510 KMs",1 Owner,2019,Diesel,Bangalore
